city,state,lat,lng
Albemarle,North Carolina,35.360000,-80.192100
Arlington,Virginia,38.878600,-77.101100
Astoria,New York,40.764136,-73.924247
Atlanta,Georgia,33.762700,-84.423100
Austin,Texas,30.303800,-97.754500
Baltimore,Maryland,39.305100,-76.614400
Baton Rouge,Louisiana,30.442200,-91.131400
Bayonne,New Jersey,40.665900,-74.114100
Bear,Delaware,39.618800,-75.680400
Belpre,Ohio,39.281500,-81.597100
Bennington,Vermont,42.874600,-73.185200
Beverly Hills,California,34.078600,-118.402100
Birmingham,Alabama,33.527600,-86.798600
Bloomington,Minnesota,44.830600,-93.315000
Boca Raton,Florida,26.374900,-80.107800
Boise,Idaho,43.599100,-116.230600
Bolingbrook,Illinois,41.691100,-88.101200
Boston,Massachusetts,42.318900,-71.083800
Bountiful,Utah,40.872200,-111.864700
Bowie,Maryland,38.957700,-76.742100
Bowling Green,Kentucky,36.972500,-86.437100
Boynton Beach,Florida,26.528200,-80.081200
Bridgeport,Connecticut,41.190900,-73.195800
Bronx,New York,40.850100,-73.866200
Brooklyn,New York,40.650100,-73.949600
Burbank,California,34.188000,-118.323400
Burbank,South Dakota,42.745300,-96.829200
Burlington,Kentucky,39.022300,-84.721600
Calipatria,California,33.148800,-115.505800
Camarillo,California,34.223000,-119.032500
Cartersville,Georgia,34.163100,-84.800700
Cedar Falls,Iowa,42.519700,-92.453200
Charlestown,Massachusetts,42.377815,-71.062715
Charlotte,North Carolina,35.208000,-80.830800
Chicago,Illinois,41.837300,-87.686100
Chula Vista,California,32.628100,-117.014400
Cincinnati,Ohio,39.141200,-84.506000
Clarksville,Tennessee,36.569600,-87.342800
College Station,Texas,30.585700,-96.296000
Collierville,Tennessee,35.047400,-89.698900
Columbia,Maryland,39.200400,-76.859000
Columbia,South Carolina,34.036600,-80.904300
Columbus,Indiana,39.209400,-85.917800
Columbus,Ohio,39.985900,-82.985200
Commack,New York,40.844300,-73.283400
Concord,New Hampshire,43.230700,-71.559500
Conway,Arkansas,35.075400,-92.469600
Conway,South Carolina,33.840600,-79.041800
Coral Springs,Florida,26.270200,-80.259300
Cranston,Rhode Island,41.765800,-71.485800
Cumberland,Rhode Island,41.948352,-71.415419
Dallas,Georgia,33.915300,-84.841600
Dallas,Texas,32.793800,-96.765900
Dayton,Texas,30.035800,-94.902400
Dearborn,Michigan,42.312700,-83.213000
Decatur,Illinois,39.855500,-88.933700
Decatur,Texas,33.227700,-97.589900
Deerfield Beach,Florida,26.305000,-80.127800
Delray Beach,Florida,26.455000,-80.090500
Denver,Colorado,39.762100,-104.875900
Detroit,Michigan,42.383400,-83.102400
DeValls Bluff,Arkansas,34.785800,-91.460400
Durant,Oklahoma,33.995700,-96.393800
Eastman,Georgia,32.197300,-83.171400
Eastpointe,Michigan,42.465700,-82.946000
Edina,Minnesota,44.891300,-93.360200
Edinburg,Texas,26.318300,-98.162200
Edmond,Oklahoma,35.668900,-97.415900
Elgin,Illinois,42.038500,-88.322700
Elkridge,Maryland,39.194100,-76.742700
Elmhurst,New York,40.736491,-73.877914
Encino,California,34.158229,-118.502890
Etowah,Tennessee,35.338400,-84.528100
Fairfield,California,38.259300,-122.031900
Fort Lauderdale,Florida,26.141200,-80.146400
Fort Myers,Florida,26.619700,-81.830600
Franklin Park,New Jersey,40.442097,-74.536908
Fridley,Minnesota,45.084200,-93.259600
Gatlinburg,Tennessee,35.725000,-83.493600
Gilbert,Arizona,33.310300,-111.746300
Glen Carbon,Illinois,38.758000,-89.983900
Gouverneur,New York,44.336600,-75.466600
Grand Island,New York,43.018266,-78.959059
Grand Rapids,Michigan,42.961500,-85.655700
Grand Rapids,Minnesota,47.237900,-93.532600
Harrisburg,North Carolina,35.314500,-80.649500
Harwinton,Connecticut,41.770145,-73.072819
Hattiesburg,Mississippi,31.307300,-89.316900
Havre de Grace,Maryland,39.547100,-76.113500
Haysville,Kansas,37.565100,-97.352800
Higley,Arizona,33.307300,-111.721000
Hilo,Hawaii,19.688600,-155.086400
Hilton Head Island,South Carolina,32.189600,-80.749900
Hilton Head,South Carolina,32.189600,-80.749900
Hoboken,New Jersey,40.745200,-74.027900
Homestead,Florida,25.466400,-80.447200
Honolulu,Hawaii,21.329300,-157.846000
Hoover,Alabama,33.376100,-86.806500
Hopkinsville,Kentucky,36.838800,-87.478900
Houston,Texas,29.787100,-95.393600
Howell,New Jersey,40.148096,-74.213683
Humeston,Iowa,40.861000,-93.497300
Huntington Beach,California,33.696000,-118.002300
Huntington,Arkansas,35.081700,-94.266200
Inglewood,California,33.956600,-118.344400
Irvine,California,33.677200,-117.773800
Irving,Texas,32.858400,-96.970200
Kannapolis,North Carolina,35.476600,-80.639100
Kansas City,Missouri,39.123900,-94.554100
Katy,Texas,29.791100,-95.826800
Kennesaw,Georgia,34.026100,-84.617700
Keyport,New Jersey,40.432700,-74.201300
Kimball,Minnesota,45.314300,-94.300800
Lafayette,Louisiana,30.209700,-92.031400
Lake Worth,Florida,26.619500,-80.059200
Lakeville,Minnesota,44.677700,-93.252200
Lancaster,California,34.693400,-118.175300
Lander,Wyoming,42.831300,-108.759900
Las Vegas,Nevada,36.228800,-115.260300
Lawrence,Kansas,38.960300,-95.264300
Long Beach,California,33.805900,-118.161000
Long Island,New York,40.800000,-73.300000
Los Angeles,California,34.114000,-118.406800
Louisville,Kentucky,38.166200,-85.648800
Lovejoy,Georgia,33.442200,-84.317800
Luther,Oklahoma,35.668000,-97.190500
Magnolia,Texas,30.211700,-95.741900
Malibu,California,34.036800,-118.784500
Matthews,North Carolina,35.119600,-80.710100
McKenzie Bridge,Oregon,44.175100,-122.163900
McKinney,Texas,33.198900,-96.667800
Meadville,Pennsylvania,41.647600,-80.146800
Memphis,Tennessee,35.104700,-89.977300
Miami Beach,Florida,25.817100,-80.139600
Miami,Florida,25.784000,-80.210200
Milford,Connecticut,41.222300,-73.056500
Milwaukee,Wisconsin,43.064000,-87.966900
Minneapolis,Minnesota,44.963500,-93.267900
Mobile,Alabama,30.678200,-88.116100
Morristown,New Jersey,40.796600,-74.477200
Mount Olive,New Jersey,40.851500,-74.732900
Mountain Top,Pennsylvania,41.135300,-75.904500
Naples,Florida,26.150400,-81.793600
Nashville,Tennessee,36.171400,-86.784400
New Bedford,Massachusetts,41.669700,-70.942800
New Orleans,Louisiana,30.068700,-89.928800
New York City,New York,40.694300,-73.924900
New York,New York,40.694300,-73.924900
Niagara Falls,New York,43.092100,-79.014700
Norridge,Illinois,41.963700,-87.823100
North Hollywood,California,34.187200,-118.385960
Northridge,California,34.236037,-118.532717
Norwalk,Connecticut,41.114400,-73.421500
Oak Grove,Minnesota,45.340700,-93.326400
Oak Park,Illinois,41.887200,-87.789900
Oak Ridge,Tennessee,35.963900,-84.293800
Olathe,Kansas,38.884000,-94.819400
Omaha,Nebraska,41.263400,-96.045300
Omak,Washington,48.421400,-119.517800
Opelousas,Louisiana,30.527900,-92.085100
Orange County,California,33.675687,-117.777207
Orlando,Florida,28.480100,-81.344800
Palm Beach Gardens,Florida,26.848900,-80.165400
Palm Beach,Florida,26.692800,-80.040500
Parker,Colorado,39.507500,-104.774600
Pasadena,California,34.159800,-118.138900
Pembroke Pines,Florida,26.012700,-80.338400
Philadelphia,Pennsylvania,40.007600,-75.134000
Phoenix,Arizona,33.572200,-112.089100
Pittsburgh,Pennsylvania,40.439600,-79.976300
Plano,Texas,33.050200,-96.748700
Plantation,Florida,26.126000,-80.261700
Playa Vista,California,33.978890,-118.414720
Ponte Vedra Beach,Florida,30.239700,-81.385600
Portland,Oregon,45.537200,-122.650000
Powell,Tennessee,36.031700,-84.028000
Prairieville,Louisiana,30.315100,-90.957100
Providence,Rhode Island,41.822900,-71.418600
Provo,Utah,40.245800,-111.645700
Queens,New York,40.749800,-73.797600
Raleigh,North Carolina,35.832300,-78.644100
Rancho Cucamonga,California,34.124600,-117.566200
Reseda,California,34.200663,-118.539071
Riverside,California,33.938200,-117.394900
Roanoke,Virginia,37.278400,-79.958100
Robbinsdale,Minnesota,45.026100,-93.333100
Rochester,Minnesota,44.015200,-92.477600
Rockford,Illinois,42.259400,-89.064600
Roswell,Georgia,34.039100,-84.351300
Rudd,Iowa,43.127500,-92.904600
Saddle Brook,New Jersey,40.904928,-74.091296
Salem,Oregon,44.923100,-123.024500
San Antonio,Texas,29.472200,-98.524700
San Diego,California,32.831200,-117.122500
San Francisco,California,37.756100,-122.442900
San Jose,California,37.302000,-121.848800
San Marcos,California,33.135000,-117.174300
San Marcos,Texas,29.876600,-97.931100
San Mateo,California,37.552200,-122.312200
Santa Monica,California,34.023200,-118.481300
Sarasota,Florida,27.339100,-82.543900
Schererville,Indiana,41.487000,-87.444400
Scranton,Pennsylvania,41.404300,-75.664900
Seattle,Washington,47.621700,-122.323800
Sewell,New Jersey,39.766500,-75.144300
Shadow Hills,California,34.261025,-118.321359
Simi Valley,California,34.266300,-118.749000
Slidell,Louisiana,30.288100,-89.782800
South Shore,Illinois,41.760000,-87.580000
Spring,Texas,30.061300,-95.382900
St. Petersburg,Florida,27.793100,-82.665200
Staten Island,New York,40.583400,-74.149600
Stockton,California,37.976600,-121.311100
Stuarts Draft,Virginia,38.024500,-79.030800
Studio City,California,34.143025,-118.391311
Superior,Wisconsin,46.694000,-92.082300
Swansea,Massachusetts,41.747340,-71.212167
Syracuse,Utah,41.087100,-112.069800
Tallahassee,Florida,30.454900,-84.252700
Tampa,Florida,27.993700,-82.445400
Tarzana,California,34.167080,-118.541354
Taylorville,Illinois,39.532800,-89.280400
Tempe,Arizona,33.388100,-111.931800
Texarkana,Arkansas,33.436500,-93.996100
The Woodlands,Texas,30.173800,-95.513500
Three Lakes,Wisconsin,45.804800,-89.170800
Torrance,California,33.834600,-118.341700
Tucson,Arizona,32.155800,-110.877700
Tulsa,Oklahoma,36.128400,-95.903700
Tupelo,Mississippi,34.263700,-88.729800
Tuscaloosa,Alabama,33.234900,-87.526800
Ubly,Michigan,43.708100,-82.935300
Upper Marlboro,Maryland,38.817200,-76.754500
Urbana,Ohio,40.108800,-83.754100
Vacaville,California,38.359200,-121.968600
Venice Beach,California,33.993772,-118.463463
Ventura,California,34.278300,-119.293200
Villa Rica,Georgia,33.730500,-84.916800
Waldorf,Maryland,38.608500,-76.919500
Walnut Creek,California,37.902500,-122.039800
Walterboro,South Carolina,32.900700,-80.675100
Wanaque,New Jersey,41.044000,-74.290100
Washington Township,Michigan,42.765492,-83.046732
Washington,District of Columbia,38.904700,-77.016300
West Bloomfield,Michigan,42.566696,-83.387095
West Hills,California,34.196343,-118.638892
West Hollywood,California,34.088300,-118.371800
Westminster,Maryland,39.579900,-77.006600
Weston,Florida,26.100300,-80.405200
Wichita Falls,Texas,33.907200,-98.529300
Woodbridge,Virginia,38.656900,-77.240300
Woodland Hills,California,34.166171,-118.607955
Woodridge,Illinois,41.737200,-88.041000
York,Pennsylvania,39.965100,-76.731500
